,Unnamed: 0,Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems,breed
0,0,retriever,canada,"yellow,black,chocolate",21-24,brown,10-12,"loyal,friendly,intelligent,energetic,good-natured","hipdysplasia,obesity,earinfections",retriever
1,1,germanshepherd,germany,"black,tan",22-26,brown,7-10,"loyal,intelligent,protective,confident,trainable","hipdysplasia,elbowdysplasia,pancreatitis",
2,2,bulldog,england,"white,red",12-16,brown,8-10,"loyal,calm,gentle,brave","skinallergies,respiratoryissues,obesity",
3,3,poodle,france,"white,black,brown,apricot",10-15,"brown,blue",12-15,"intelligent,active,affectionate,hypoallergenic","hipdysplasia,epilepsy,bladderstones",
4,4,beagle,england,"white,tan,red,lemon",13-15,brown,12-15,"curious,friendly,energetic,good-natured","earinfections,hipdysplasia,epilepsy",
5,5,chihuahua,mexico,"black,brown,tan,white",6-9,"brown,blue",12-20,"loyal,energetic,confident,sensitive","dentalproblems,eyeissues,respiratoryissues",
6,6,boxer,germany,"fawn,brindle",21-25,brown,10-12,"loyal,energetic,intelligent,playful,protective","hipdysplasia,cancer,heartconditions",
7,7,retriever,scotland,golden,21-24,brown,10-12,"intelligent,friendly,kind,loyal,good-natured","hipdysplasia,cancer,skinallergies",retriever
8,8,pug,china,"fawn,black",10-14,brown,12-15,"loyal,playful,affectionate,social,charming","eyeproblems,respiratoryissues,obesity",
9,9,rottweiler,germany,"black,tan",22-27,brown,8-10,"loyal,protective,confident,strong","hipdysplasia,cancer,elbowdysplasia",
10,10,siberianhusky,russia,"black,white",21-24,blue,12-15,"independent,energetic,intelligent,playful,strong","hipdysplasia,eyeproblems,hereditarymyopathy",
11,11,dachshund,germany,"black,tan",5-9,"brown,blue",12-15,"loyal,energetic,playful,curious","intervertebraldiscdisease,hipdysplasia,diabetes",
12,12,shihtzu,china,"black,white,brown",9-10,brown,10-16,"affectionate,playful,confident,good-natured","dentalproblems,respiratoryissues,eyeproblems",
13,13,bichonfrise,france,white,9-11,brown,12-15,"playful,affectionate,intelligent,social","dentalproblems,eyeproblems,bladderstones",
14,14,australianshepherd,australia,"black,red",18-23,"brown,blue",12-15,"intelligent,energetic,loyal,trainable","hipdysplasia,eyeproblems,epilepsy",
15,15,bassethound,france,"black,tan",11-15,brown,10-12,"affectionate,patient,gentle,good-natured","dentalproblems,earinfections,obesity",
16,16,cockerspaniel,england,"black,brown",14-15,brown,12-15,"affectionate,intelligent,energetic,good-natured","earinfections,hipdysplasia,eyeproblems",
17,17,frenchbulldog,france,"white,black,brindle",11-12,brown,10-12,"affectionate,playful,good-natured","breathingproblems,eyeproblems,hipdysplasia",
18,18,pomeranian,germany,"orange,sable,black",6-7,brown,12-16,"playful,energetic,intelligent,good-natured","dentalproblems,eyeproblems,obesity",
19,19,greatdane,germany,"black,blue,fawn,harlequin",28-34,brown,8-10,"gentle,loyal,intelligent,good-natured","hipdysplasia,cancer,heartconditions",
20,20,mastiff,england,"apricot,fawn",30-34,brown,8-10,"loyal,gentle,protective,good-natured","hipdysplasia,heartconditions,cancer",
21,21,newfoundland,canada,"black,brown,grey",26-28,brown,9-11,"loyal,intelligent,gentle,good-natured","hipdysplasia,heartconditions,cancer",
22,22,saintbernard,switzerland,"red,white",26-30,brown,8-10,"loyal,intelligent,gentle,protective","hipdysplasia,cancer,heartconditions",
23,23,oldenglishsheepdog,england,"blue,grey",22-26,brown,10-12,"gentle,intelligent,good-natured,protective","hipdysplasia,eyeproblems,skinallergies",
24,24,irishwolfhound,ireland,"grey,red,black",30-35,brown,6-8,"gentle,loyal,intelligent,good-natured","hipdysplasia,heartconditions,cancer",
25,25,greyhound,england,"black,white,brindle",26-30,brown,10-12,"intelligent,athletic,sensitive,good-natured","hipdysplasia,eyeproblems,heartconditions",
26,26,scottishdeerhound,scotland,"blue,grey",28-32,brown,8-10,"gentle,intelligent,good-natured,independent","hipdysplasia,heartconditions,cancer",
27,27,greatpyrenees,france,white,25-32,brown,10-12,"loyal,intelligent,gentle,protective","hipdysplasia,cancer,skinallergies",
28,28,sharpei,china,"cream,fawn",18-20,brown,8-12,"independent,loyal,intelligent,good-natured","skinallergies,eyeproblems,hipdysplasia",
29,29,dobermanpinscher,germany,"black,red",24-28,brown,10-12,"loyal,energetic,intelligent,protective","hipdysplasia,heartconditions,cancer",
30,30,weimaraner,germany,"silver,grey",25-29,"blue,grey",10-12,"energetic,intelligent,good-natured,loyal","hipdysplasia,eyeproblems,cancer",
31,31,belgianmalinois,belgium,"fawn,mahogany",22-26,brown,12-14,"intelligent,energetic,loyal,protective","hipdysplasia,eyeproblems,skinallergies",
32,32,rhodesianridgeback,rhodesia,lightwheaten,25-27,brown,10-12,"intelligent,athletic,loyal,good-natured","hipdysplasia,eyeproblems,cancer",
33,33,englishsetter,england,"black,white,liver",23-27,brown,12-15,"intelligent,energetic,affectionate,good-natured","hipdysplasia,eyeproblems,cancer",
34,34,pointer,england,"black,white,liver",21-27,brown,12-15,"intelligent,energetic,good-natured,affectionate","hipdysplasia,eyeproblems,cancer",
35,35,gordonsetter,scotland,"black,tan",23-27,brown,12-15,"intelligent,energetic,good-natured,affectionate","hipdysplasia,eyeproblems,cancer",
36,36,irishsetter,ireland,red,24-28,brown,12-15,"intelligent,energetic,good-natured,affectionate","hipdysplasia,eyeproblems,cancer",
37,37,papillon,france,"white,black,sable,red",8-11,brown,14-16,"intelligent,energetic,affectionate,good-natured","dentalproblems,eyeproblems,bladderstones",
38,38,pekingese,china,"black,white,red",6-9,brown,12-15,"independent,intelligent,affectionate,good-natured","dentalproblems,respiratoryissues,eyeproblems",
39,39,poodle,france,"white,black,brown,apricot",10-11,"brown,blue",12-15,"intelligent,active,affectionate,hypoallergenic","hipdysplasia,epilepsy,bladderstones",
40,40,poodle,france,"white,black,brown,apricot",10-15,"brown,blue",12-15,"intelligent,active,affectionate,hypoallergenic","hipdysplasia,epilepsy,bladderstones",
41,41,poodle,france,"white,black,brown,apricot",15-22,"brown,blue",12-15,"intelligent,active,affectionate,hypoallergenic","hipdysplasia,epilepsy,bladderstones",
42,42,affenpinscher,germany,"black,brown,red",9-11,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeproblems,skinallergies",
43,43,bostonterrier,unitedstates,"black,white",15-17,brown,11-13,"intelligent,energetic,affectionate,good-natured","eyeproblems,respiratoryissues,skinallergies",
44,44,brusselsgriffon,belgium,"black,red",7-10,brown,12-15,"intelligent,energetic,affectionate,good-natured","dentalproblems,eyeproblems,respiratoryissues",
45,45,cairnterrier,scotland,"black,wheaten,red",10-12,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeproblems,skinallergies",
46,46,chinesecrested,china,"pink,white,black",11-13,brown,13-18,"intelligent,energetic,affectionate,good-natured","dentalproblems,eyeproblems,skinallergies",
47,47,miniatureschnauzer,germany,"black,salt&pepper,white",12-14,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,pancreatitis,diabetes",
48,48,standardschnauzer,germany,"black,salt&pepper",18-20,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,pancreatitis,diabetes",
